INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2023-07-04T06:00:00-00:00,2023-07-04T07:00:00-00:00,1,2023-07-03,24,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6291.08,DAM,16
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,8130.73,DAM,16
2023-07-04T00:00:00-00:00,2023-07-04T01:00:00-00:00,1,2023-07-03,18,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,8421.49,DAM,16
2023-07-04T05:00:00-00:00,2023-07-04T06:00:00-00:00,1,2023-07-03,23,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6881.41,DAM,16
2023-07-04T01:00:00-00:00,2023-07-04T02:00:00-00:00,1,2023-07-03,19,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,8370.37,DAM,16
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,7724.75,DAM,16
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,NWMT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1381.81,DAM,17
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,NWMT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1357.69,DAM,17
2023-07-04T01:00:00-00:00,2023-07-04T02:00:00-00:00,1,2023-07-03,19,0,DAM,NWMT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1420.03,DAM,17
2023-07-04T05:00:00-00:00,2023-07-04T06:00:00-00:00,1,2023-07-03,23,0,DAM,NWMT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1214.88,DAM,17
2023-07-04T00:00:00-00:00,2023-07-04T01:00:00-00:00,1,2023-07-03,18,0,DAM,NWMT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1465.82,DAM,17
2023-07-04T06:00:00-00:00,2023-07-04T07:00:00-00:00,1,2023-07-03,24,0,DAM,NWMT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1153.85,DAM,17
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,NWMT,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1302.85,DAM,17
2023-07-04T06:00:00-00:00,2023-07-04T07:00:00-00:00,1,2023-07-03,24,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6074.76,DAM,18
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,7103.96,DAM,18
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,7787.94,DAM,18
2023-07-04T01:00:00-00:00,2023-07-04T02:00:00-00:00,1,2023-07-03,19,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,8138.98,DAM,18
2023-07-04T05:00:00-00:00,2023-07-04T06:00:00-00:00,1,2023-07-03,23,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,6560.6,DAM,18
2023-07-04T00:00:00-00:00,2023-07-04T01:00:00-00:00,1,2023-07-03,18,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,8369.49,DAM,18
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,7536.37,DAM,18
2023-07-04T06:00:00-00:00,2023-07-04T07:00:00-00:00,1,2023-07-03,24,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2264.89,DAM,19
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2725.24,DAM,19
2023-07-04T05:00:00-00:00,2023-07-04T06:00:00-00:00,1,2023-07-03,23,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2501.8,DAM,19
2023-07-04T01:00:00-00:00,2023-07-04T02:00:00-00:00,1,2023-07-03,19,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3103.19,DAM,19
2023-07-04T02:00:00-00:00,2023-07-04T03:00:00-00:00,1,2023-07-03,20,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3002.84,DAM,19
2023-07-04T03:00:00-00:00,2023-07-04T04:00:00-00:00,1,2023-07-03,21,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2850.25,DAM,19
2023-07-04T00:00:00-00:00,2023-07-04T01:00:00-00:00,1,2023-07-03,18,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3139.93,DAM,19
2023-07-04T04:00:00-00:00,2023-07-04T05:00:00-00:00,1,2023-07-03,22,0,DAM,PGE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2970.98,DAM,20
